,movie_id,movie_title,explanation_type,explanation_text,persuasiveness,transparency,accuracy,satisfactory,persuasiveness_1,transparency_1,accuracy_1,satisfactory_1,persuasiveness_2,transparency_2,accuracy_2,satisfactory_2,persuasiveness_avergae,transparency_avergae,accuracy_avergae,satisfactory_avergae
10,318,肖申克的救赎 The Shawshank Redemption,pop,有1677850用户看过这部电影(热门度前1%),4.0,4.0,4,4,5,5,3,3,4,5,2,2,4.5,5.0,2.5,2.5
11,318,肖申克的救赎 The Shawshank Redemption,attr_nonpersonal,这部电影的演员有鲍勃·冈顿,2.0,2.0,2,3,3,5,3,3,4,4,4,4,3.5,4.5,3.5,3.5
12,318,肖申克的救赎 The Shawshank Redemption,attr_personal,这是一部美国电影,3.0,3.0,3,3,2,3,1,1,2,4,3,2,2.0,3.5,2.0,1.5
13,318,肖申克的救赎 The Shawshank Redemption,attr_peer,这是一部美国电影,3.0,3.0,3,3,2,3,1,1,2,4,3,2,2.0,3.5,2.0,1.5
14,318,肖申克的救赎 The Shawshank Redemption,item,喜欢《普罗米修斯》的也喜欢,4.0,3.0,4,3,3,5,2,2,4,4,4,5,3.5,4.5,3.0,3.5
15,318,肖申克的救赎 The Shawshank Redemption,user,和你兴趣相似的用户中，看过这部电影的96.5%都喜欢,4.0,2.0,4,4,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0
16,2324,美丽人生 La vita è bella,attr_nonpersonal,这部电影的演员有乔治·坎塔里尼,2.0,1.0,2,2,4,5,5,4,4,4,4,4,4.0,4.5,4.5,4.0
17,2324,美丽人生 La vita è bella,attr_personal,这是一部爱情电影,3.0,3.0,4,4,2,5,2,2,2,4,3,2,2.0,4.5,2.5,2.0
18,2324,美丽人生 La vita è bella,pop,有758624用户看过这部电影(热门度前1%),4.0,2.0,4,4,5,5,3,3,4,5,2,2,4.5,5.0,2.5,2.5
19,2324,美丽人生 La vita è bella,item_peer,这部电影和你看过的《我的少女时代 我的少女時代》很像,4.0,4.0,4,4,4,5,4,4,4,4,4,5,4.0,4.5,4.0,4.5
20,2324,美丽人生 La vita è bella,attr_peer,这是一部剧情电影,3.0,3.0,3,3,1,5,1,1,2,4,3,2,1.5,4.5,2.0,1.5
21,2324,美丽人生 La vita è bella,item,喜欢《哈利·波特与混血王子》的也喜欢,4.0,2.0,4,4,5,5,5,5,4,4,4,5,4.5,4.5,4.5,5.0
22,2324,美丽人生 La vita è bella,peer,豆瓣top10之一，在可爱童话中度过的纳粹集中营时光，悲喜参半的结局。,4.0,2.0,4,4,5,5,5,5,5,5,4,5,5.0,5.0,4.5,5.0
23,2324,美丽人生 La vita è bella,user,和你兴趣相似的用户中，看过这部电影的91.8%都喜欢,4.0,4.0,4,4,5,5,4,4,5,5,5,5,5.0,5.0,4.5,4.5
24,2324,美丽人生 La vita è bella,attr_random,这是一部喜剧电影,4.0,2.0,4,4,2,5,2,2,2,4,3,2,2.0,4.5,2.5,2.0
25,50,非常嫌疑犯 The Usual Suspects,user,和你兴趣相似的用户中，看过这部电影的84.8%都喜欢,4.0,4.0,4,4,4,5,2,2,5,5,5,5,4.5,5.0,3.5,3.5
26,50,非常嫌疑犯 The Usual Suspects,attr_nonpersonal,这部电影的演员有史蒂芬·鲍德温,2.0,2.0,2,2,3,5,3,2,4,4,4,4,3.5,4.5,3.5,3.0
27,50,非常嫌疑犯 The Usual Suspects,attr_personal,这是一部美国电影,3.0,3.0,3,3,1,5,1,1,2,4,3,2,1.5,4.5,2.0,1.5
28,50,非常嫌疑犯 The Usual Suspects,attr_random,这是一部犯罪电影,4.0,2.0,4,4,4,4,4,4,2,4,3,2,3.0,4.0,3.5,3.0
29,50,非常嫌疑犯 The Usual Suspects,attr_peer,这是一部犯罪电影,4.0,2.0,4,4,4,4,4,4,2,4,3,2,3.0,4.0,3.5,3.0
30,50,非常嫌疑犯 The Usual Suspects,item_peer,这部电影和你看过的《惊天魔盗团 Now You See Me》很像,4.0,4.0,4,4,4,5,5,4,4,4,4,5,4.0,4.5,4.5,4.5
31,50,非常嫌疑犯 The Usual Suspects,item,喜欢《湮灭》的也喜欢,3.0,3.0,2,3,4,5,4,3,4,4,4,5,4.0,4.5,4.0,4.0
32,50,非常嫌疑犯 The Usual Suspects,pop,有171366用户看过这部电影(热门度前4%),4.0,4.0,4,4,5,5,3,4,3,5,2,2,4.0,5.0,2.5,3.0
33,50,非常嫌疑犯 The Usual Suspects,peer,跟着嫌疑犯们一起度过紧张刺激的106分钟吧！屏住呼吸！,4.0,4.0,4,4,1,1,1,2,1,2,2,1,1.0,1.5,1.5,1.5
34,177233,麦田里的反叛者 Rebel in the Rye,item,喜欢《暮光之城2：新月》的也喜欢,4.0,2.0,4,4,1,3,1,2,4,4,4,5,2.5,3.5,2.5,3.5
35,177233,麦田里的反叛者 Rebel in the Rye,attr_peer,这是一部美国电影,3.0,2.0,3,3,1,5,1,1,2,4,3,2,1.5,4.5,2.0,1.5
36,177233,麦田里的反叛者 Rebel in the Rye,attr_nonpersonal,这部电影的演员有凯文·史派西,3.0,2.0,2,2,3,5,3,3,4,4,4,4,3.5,4.5,3.5,3.5
37,177233,麦田里的反叛者 Rebel in the Rye,attr_personal,这是一部爱情电影,3.0,2.0,4,4,2,5,2,3,2,4,3,2,2.0,4.5,2.5,2.5
38,177233,麦田里的反叛者 Rebel in the Rye,user,和你兴趣相似的用户中，看过这部电影的100.0%都喜欢,4.0,4.0,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0
39,177233,麦田里的反叛者 Rebel in the Rye,peer,你看过《麦田里的守望者》吗?你想知道什么样的作者能写出它吗，那就看塞林格的传记电影《麦田里的反叛者》吧！,3.0,2.0,1,1,4,3,4,4,2,3,2,1,3.0,3.0,3.0,2.5
40,177233,麦田里的反叛者 Rebel in the Rye,pop,有1686用户看过这部电影(热门度前51%),3.0,2.0,3,2,3,2,2,2,1,1,1,1,2.0,1.5,1.5,1.5
41,177233,麦田里的反叛者 Rebel in the Rye,attr_random,这部电影的编剧是丹尼·斯特朗,3.0,2.0,2,2,3,5,3,2,3,4,4,3,3.0,4.5,3.5,2.5
42,8533,恋恋笔记本 The Notebook,item_peer,这部电影和你看过的《我的少女时代 我的少女時代》很像,4.0,4.0,4,5,3,5,3,3,4,4,4,5,3.5,4.5,3.5,4.0
43,8533,恋恋笔记本 The Notebook,peer,那个男人，在那个夏天，教会那个女孩爱与自由。,4.0,3.0,3,3,4,3,4,4,2,2,2,1,3.0,2.5,3.0,2.5
44,8533,恋恋笔记本 The Notebook,item,喜欢《暮光之城2：新月》的也喜欢,4.0,4.0,4,4,1,1,1,1,4,4,4,5,2.5,2.5,2.5,3.0
45,8533,恋恋笔记本 The Notebook,attr_nonpersonal,这部电影的编剧是扬·萨尔迪,2.0,2.0,2,2,3,4,3,2,3,4,4,3,3.0,4.0,3.5,2.5
46,8533,恋恋笔记本 The Notebook,attr_random,这是一部爱情电影,4.0,4.0,4,3,3,5,3,2,2,4,3,2,2.5,4.5,3.0,2.0
47,8533,恋恋笔记本 The Notebook,attr_personal,这是一部爱情电影,4.0,4.0,4,3,3,5,3,2,2,4,3,2,2.5,4.5,3.0,2.0
48,8533,恋恋笔记本 The Notebook,pop,有405359用户看过这部电影(热门度前1%),4.0,4.0,4,4,1,5,1,1,4,5,2,2,2.5,5.0,1.5,1.5
49,8533,恋恋笔记本 The Notebook,user,和你兴趣相似的用户中，看过这部电影的96.8%都喜欢,4.0,5.0,4,4,5,5,1,1,5,5,5,5,5.0,5.0,3.0,3.0
50,8533,恋恋笔记本 The Notebook,attr_peer,这是一部美国电影,3.0,3.0,3,3,2,5,1,1,2,4,3,2,2.0,4.5,2.0,1.5
51,95754,兄弟情人 Do Começo ao Fim,peer,跨越血缘，跨越性向，跨越距离与生死，见证真爱带来的可能性。,4.0,2.0,4,4,5,3,5,5,2,2,2,1,3.5,2.5,3.5,3.0
52,95754,兄弟情人 Do Começo ao Fim,pop,有11842用户看过这部电影(热门度前23%),2.0,2.0,3,3,1,5,1,1,1,1,1,1,1.0,3.0,1.0,1.0
53,95754,兄弟情人 Do Começo ao Fim,attr_random,这是一部同性电影,4.0,2.0,4,4,4,5,4,4,2,4,3,2,3.0,4.5,3.5,3.0
54,95754,兄弟情人 Do Começo ao Fim,attr_nonpersonal,这是一部同性电影,4.0,2.0,4,4,4,5,4,4,2,4,3,2,3.0,4.5,3.5,3.0
55,95754,兄弟情人 Do Começo ao Fim,item,喜欢《暮光之城2：新月》的也喜欢,4.0,4.0,4,4,3,5,3,3,4,4,4,5,3.5,4.5,3.5,4.0
56,95754,兄弟情人 Do Começo ao Fim,user,和你兴趣相似的用户中，看过这部电影的100.0%都喜欢,4.0,5.0,4,5,5,5,4,5,5,5,5,5,5.0,5.0,4.5,5.0
57,95754,兄弟情人 Do Começo ao Fim,attr_personal,这是一部剧情电影,3.0,3.0,3,3,3,5,3,2,2,4,3,2,2.5,4.5,3.0,2.0
58,95754,兄弟情人 Do Começo ao Fim,attr_peer,这是一部剧情电影,3.0,3.0,3,3,3,5,3,2,2,4,3,2,2.5,4.5,3.0,2.0
59,64114,消防员 Fireproof,attr_nonpersonal,这是一部爱情电影,4.0,4.0,4,4,2,5,2,4,2,4,3,2,2.0,4.5,2.5,3.0
60,64114,消防员 Fireproof,attr_personal,这是一部爱情电影,4.0,4.0,4,4,2,5,2,4,2,4,3,2,2.0,4.5,2.5,3.0
61,64114,消防员 Fireproof,item,喜欢《惊天魔盗团》的也喜欢,4.0,4.0,4,4,2,5,2,4,4,4,4,5,3.0,4.5,3.0,4.5
62,64114,消防员 Fireproof,attr_random,这是一部美国电影,3.0,3.0,3,3,2,5,1,1,2,4,3,2,2.0,4.5,2.0,1.5
63,64114,消防员 Fireproof,attr_peer,这是一部美国电影,3.0,3.0,3,3,2,5,1,1,2,4,3,2,2.0,4.5,2.0,1.5
64,64114,消防员 Fireproof,user,和你兴趣相似的用户中，看过这部电影的100.0%都喜欢,4.0,5.0,4,5,5,5,2,5,5,5,5,5,5.0,5.0,3.5,5.0
65,64114,消防员 Fireproof,pop,有4132用户看过这部电影(热门度前37%),3.0,2.0,3,3,2,5,3,2,1,1,1,1,1.5,3.0,2.0,1.5
66,64114,消防员 Fireproof,item_peer,这部电影和你看过的《我的少女时代 我的少女時代》很像,4.0,5.0,4,5,2,5,2,3,4,4,4,5,3.0,4.5,3.0,4.0
67,64114,消防员 Fireproof,peer,我们该怎么挽救一段看似没有未来的爱情？这部电影会给你答案。,4.0,2.0,4,4,3,1,3,1,2,3,2,2,2.5,2.0,2.5,1.5
68,800,小镇疑云 Lone Star,attr_random,这是一部悬疑电影,2.0,3.0,4,2,2,5,2,2,2,4,3,2,2.0,4.5,2.5,2.0
69,800,小镇疑云 Lone Star,attr_personal,这是一部悬疑电影,2.0,3.0,4,2,2,5,2,2,2,4,3,2,2.0,4.5,2.5,2.0
70,800,小镇疑云 Lone Star,attr_peer,这是一部悬疑电影,2.0,3.0,4,2,2,5,2,2,2,4,3,2,2.0,4.5,2.5,2.0
71,800,小镇疑云 Lone Star,item,喜欢《神话》的也喜欢,3.0,3.0,3,3,5,5,5,5,4,4,4,5,4.5,4.5,4.5,5.0
72,800,小镇疑云 Lone Star,user,和你兴趣相似的用户中，看过这部电影的90.6%都喜欢,4.0,4.0,4,4,5,5,3,4,5,5,5,5,5.0,5.0,4.0,4.5
73,800,小镇疑云 Lone Star,pop,有361用户看过这部电影(热门度前73%),5.0,5.0,4,4,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0
74,800,小镇疑云 Lone Star,attr_nonpersonal,这部电影的演员有马修·麦康纳,2.0,2.0,2,2,3,5,3,3,4,4,4,4,3.5,4.5,3.5,3.5
75,800,小镇疑云 Lone Star,peer,德州的场景超级棒 就很复古的美国西部的感觉,2.0,2.0,3,3,4,1,4,1,2,2,2,2,3.0,1.5,3.0,1.5
76,800,小镇疑云 Lone Star,item_peer,这部电影和你看过的《恐怖游轮 Triangle》很像,5.0,5.0,4,5,4,5,5,5,4,4,4,5,4.0,4.5,4.5,5.0
77,214,暴雨将至 Пред дождот,pop,有20842用户看过这部电影(热门度前17%),3.0,3.0,3,3,2,5,2,2,2,2,1,1,2.0,3.5,1.5,1.5
78,214,暴雨将至 Пред дождот,user,和你兴趣相似的用户中，看过这部电影的75.0%都喜欢,3.0,4.0,4,4,3,4,3,1,4,5,4,4,3.5,4.5,3.5,2.5
79,214,暴雨将至 Пред дождот,attr_random,这是一部马其顿电影,2.0,2.0,2,2,3,1,3,1,2,4,3,2,2.5,2.5,3.0,1.5
80,214,暴雨将至 Пред дождот,attr_nonpersonal,这是一部战争电影,2.0,2.0,3,3,1,5,1,1,2,4,3,2,1.5,4.5,2.0,1.5
81,214,暴雨将至 Пред дождот,attr_personal,这是一部战争电影,2.0,2.0,3,3,1,5,1,1,2,4,3,2,1.5,4.5,2.0,1.5
82,214,暴雨将至 Пред дождот,attr_peer,这是一部战争电影,2.0,2.0,3,3,1,5,1,1,2,4,3,2,1.5,4.5,2.0,1.5
83,214,暴雨将至 Пред дождот,item_peer,这部电影和你看过的《天将雄师》很像,3.0,4.0,4,3,3,5,3,3,4,4,4,5,3.5,4.5,3.5,4.0
84,214,暴雨将至 Пред дождот,item,喜欢《集结号》的也喜欢,4.0,4.0,4,3,2,5,2,2,4,4,4,5,3.0,4.5,3.0,3.5
85,214,暴雨将至 Пред дождот,peer,很深刻的探讨种族、战争、宗教的片子 值得一看,3.0,4.0,3,3,4,4,4,4,4,4,3,4,4.0,4.0,3.5,4.0
86,4312,喜马拉雅 Himalaya - l'enfance d'un chef,item_peer,这部电影和你看过的《地心引力 Gravity》很像,4.0,4.0,3,3,5,5,5,5,4,4,4,5,4.5,4.5,4.5,5.0
87,4312,喜马拉雅 Himalaya - l'enfance d'un chef,pop,有10404用户看过这部电影(热门度前25%),4.0,4.0,4,3,1,5,1,2,1,1,1,1,1.0,3.0,1.0,1.5
88,4312,喜马拉雅 Himalaya - l'enfance d'un chef,peer,真的是看完很荡气回肠的大场景电影 拍的很美 也很安静深刻,5.0,5.0,4,3,2,2,2,2,4,4,3,4,3.0,3.0,2.5,3.0
89,4312,喜马拉雅 Himalaya - l'enfance d'un chef,user,和你兴趣相似的用户中，看过这部电影的100.0%都喜欢,5.0,5.0,5,5,5,5,3,5,5,5,5,5,5.0,5.0,4.0,5.0
90,4312,喜马拉雅 Himalaya - l'enfance d'un chef,attr_nonpersonal,这是一部冒险电影,3.0,4.0,4,4,3,4,3,2,2,4,3,2,2.5,4.0,3.0,2.0
91,4312,喜马拉雅 Himalaya - l'enfance d'un chef,attr_personal,这是一部冒险电影,3.0,4.0,4,4,3,4,3,2,2,4,3,2,2.5,4.0,3.0,2.0
92,4312,喜马拉雅 Himalaya - l'enfance d'un chef,attr_peer,这是一部冒险电影,3.0,4.0,4,4,3,4,3,2,2,4,3,2,2.5,4.0,3.0,2.0
93,4312,喜马拉雅 Himalaya - l'enfance d'un chef,attr_random,这部电影的编剧是纳塔莉·阿祖莱,2.0,2.0,2,2,3,3,3,4,3,4,4,3,3.0,3.5,3.5,3.5
94,4312,喜马拉雅 Himalaya - l'enfance d'un chef,item,喜欢《集结号》的也喜欢,1.0,1.0,3,3,2,5,2,3,4,4,4,5,3.0,4.5,3.0,4.0
95,50,非常嫌疑犯 The Usual Suspects,attr_random,这是一部犯罪电影,3.0,3.0,4,4,2,5,2,4,2,4,3,2,2.0,4.5,2.5,3.0
96,50,非常嫌疑犯 The Usual Suspects,attr_personal,这是一部悬疑电影,3.0,3.0,4,4,4,5,4,4,2,4,3,2,3.0,4.5,3.5,3.0
97,50,非常嫌疑犯 The Usual Suspects,attr_peer,这是一部悬疑电影,3.0,3.0,4,4,4,5,4,4,2,4,3,2,3.0,4.5,3.5,3.0
98,50,非常嫌疑犯 The Usual Suspects,pop,有171366用户看过这部电影(热门度前4%),5.0,5.0,4,4,5,5,1,1,3,5,2,2,4.0,5.0,1.5,1.5
99,50,非常嫌疑犯 The Usual Suspects,attr_nonpersonal,这部电影的演员有史蒂芬·鲍德温,3.0,2.0,4,3,2,5,2,3,4,4,4,4,3.0,4.5,3.0,3.5
100,50,非常嫌疑犯 The Usual Suspects,user,和你兴趣相似的用户中，看过这部电影的96.0%都喜欢,5.0,4.0,4,5,5,5,4,5,5,5,5,5,5.0,5.0,4.5,5.0
101,50,非常嫌疑犯 The Usual Suspects,peer,犯罪片 超级赞 剧情紧凑而且结尾处有大反转,5.0,5.0,5,5,2,1,1,1,1,1,1,1,1.5,1.0,1.0,1.0
102,50,非常嫌疑犯 The Usual Suspects,item_peer,这部电影和你看过的《谍影重重5 Jason Bourne》很像,5.0,5.0,4,4,4,5,4,4,4,4,4,5,4.0,4.5,4.0,4.5
103,50,非常嫌疑犯 The Usual Suspects,item,喜欢《地心引力》的也喜欢,3.0,4.0,3,4,4,5,4,4,4,4,4,5,4.0,4.5,4.0,4.5
104,96966,双面劳伦斯 Laurence Anyways,item,喜欢《集结号》的也喜欢,1.0,1.0,4,2,2,5,2,3,4,4,4,5,3.0,4.5,3.0,4.0
105,96966,双面劳伦斯 Laurence Anyways,attr_random,这部电影的演员有苏珊娜·克莱蒙,2.0,2.0,2,2,3,5,3,2,4,4,4,4,3.5,4.5,3.5,3.0
106,96966,双面劳伦斯 Laurence Anyways,attr_nonpersonal,这部电影的演员有苏珊娜·克莱蒙,2.0,2.0,2,2,3,5,3,2,4,4,4,4,3.5,4.5,3.5,3.0
107,96966,双面劳伦斯 Laurence Anyways,peer,变性人的热点片子 很注重人内心世界的表现,2.0,2.0,2,2,3,2,3,1,3,3,2,2,3.0,2.5,2.5,1.5
108,96966,双面劳伦斯 Laurence Anyways,user,和你兴趣相似的用户中，看过这部电影的100.0%都喜欢,5.0,4.0,4,4,5,5,2,5,5,5,5,5,5.0,5.0,3.5,5.0
109,96966,双面劳伦斯 Laurence Anyways,pop,有12242用户看过这部电影(热门度前23%),4.0,4.0,4,3,2,5,2,2,1,1,1,1,1.5,3.0,1.5,1.5
110,96966,双面劳伦斯 Laurence Anyways,attr_peer,这是一部剧情电影,4.0,4.0,4,3,4,5,3,4,2,4,3,2,3.0,4.5,3.0,3.0
111,96966,双面劳伦斯 Laurence Anyways,attr_personal,这是一部加拿大电影,1.0,1.0,2,2,1,1,1,1,2,4,3,2,1.5,2.5,2.0,1.5
112,2360,家宴 Festen,peer,平静的餐桌之下隐藏着阴谋诡计！非常扣人心弦,4.0,4.0,4,4,3,2,3,3,3,3,3,3,3.0,2.5,3.0,3.0
113,2360,家宴 Festen,attr_random,这是一部剧情电影,3.0,3.0,4,3,2,5,2,3,2,4,3,2,2.0,4.5,2.5,2.5
114,2360,家宴 Festen,attr_personal,这是一部剧情电影,3.0,3.0,4,3,2,5,2,3,2,4,3,2,2.0,4.5,2.5,2.5
115,2360,家宴 Festen,attr_peer,这是一部剧情电影,3.0,3.0,4,3,2,5,2,3,2,4,3,2,2.0,4.5,2.5,2.5
116,2360,家宴 Festen,item,喜欢《集结号》的也喜欢,3.0,3.0,3,3,5,5,5,5,4,4,4,5,4.5,4.5,4.5,5.0
117,2360,家宴 Festen,attr_nonpersonal,这部电影的演员有托玛斯·博·拉森,3.0,3.0,2,2,3,5,3,3,4,4,4,4,3.5,4.5,3.5,3.5
118,2360,家宴 Festen,pop,有3758用户看过这部电影(热门度前39%),3.0,3.0,3,3,3,3,2,1,1,1,1,1,2.0,2.0,1.5,1.0
119,2360,家宴 Festen,item_peer,这部电影和你看过的《恐怖游轮 Triangle》很像,4.0,4.0,4,4,4,5,4,5,4,4,4,5,4.0,4.5,4.0,5.0
120,2360,家宴 Festen,user,和你兴趣相似的用户中，看过这部电影的90.9%都喜欢,4.0,4.0,4,4,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0
121,608,冰血暴 Fargo,attr_nonpersonal,这部电影的编剧是乔尔·科恩,2.0,2.0,3,3,5,5,5,5,3,4,4,3,4.0,4.5,4.5,4.0
122,608,冰血暴 Fargo,peer,幽默感和悬疑的氛围贯穿始终 没有尿点,5.0,5.0,5,5,1,5,1,1,5,5,5,5,3.0,5.0,3.0,3.0
123,608,冰血暴 Fargo,item_peer,这部电影和你看过的《三枪拍案惊奇》很像,1.0,1.0,1,1,4,5,5,4,4,4,4,5,4.0,4.5,4.5,4.5
124,608,冰血暴 Fargo,attr_personal,这是一部英国电影,3.0,3.0,3,3,2,3,2,1,2,4,3,2,2.0,3.5,2.5,1.5
125,608,冰血暴 Fargo,attr_random,这部电影的编剧是伊桑·科恩,3.0,3.0,2,2,3,3,3,2,3,4,4,3,3.0,3.5,3.5,2.5
126,608,冰血暴 Fargo,item,喜欢《地心引力》的也喜欢,3.0,4.0,4,3,3,5,3,3,4,4,4,5,3.5,4.5,3.5,4.0
127,608,冰血暴 Fargo,attr_peer,这是一部剧情电影,3.0,4.0,4,3,1,5,1,1,2,4,3,2,1.5,4.5,2.0,1.5
128,608,冰血暴 Fargo,pop,有57318用户看过这部电影(热门度前9%),4.0,4.0,4,4,2,5,2,2,3,4,2,2,2.5,4.5,2.0,2.0
129,608,冰血暴 Fargo,user,和你兴趣相似的用户中，看过这部电影的90.8%都喜欢,4.0,5.0,4,4,5,5,4,4,5,5,5,5,5.0,5.0,4.5,4.5
130,2959,搏击俱乐部 Fight Club,attr_personal,这是一部动作电影,3.0,2.0,3,3,3,5,3,2,2,4,3,2,2.5,4.5,3.0,2.0
131,2959,搏击俱乐部 Fight Club,attr_nonpersonal,这部电影的编剧是恰克·帕拉尼克,2.0,2.0,2,2,3,5,3,3,3,4,4,3,3.0,4.5,3.5,3.0
132,2959,搏击俱乐部 Fight Club,item,喜欢《恐怖游轮》的也喜欢,3.0,4.0,4,4,3,5,4,3,4,4,4,5,3.5,4.5,4.0,4.0
133,2959,搏击俱乐部 Fight Club,peer,超级好看！多重人格的大反转！演员演的超级带感 而且很有社会深度,5.0,5.0,5,5,4,3,4,2,4,5,5,5,4.0,4.0,4.5,3.5
134,2959,搏击俱乐部 Fight Club,attr_peer,这部电影的导演是大卫·芬奇,5.0,5.0,4,4,5,5,5,5,3,4,4,3,4.0,4.5,4.5,4.0
135,2959,搏击俱乐部 Fight Club,item_peer,这部电影和你看过的《三枪拍案惊奇》很像,1.0,1.0,1,1,4,5,4,4,4,4,4,5,4.0,4.5,4.0,4.5
136,2959,搏击俱乐部 Fight Club,user,和你兴趣相似的用户中，看过这部电影的95.8%都喜欢,4.0,3.0,4,4,5,5,4,5,5,5,5,5,5.0,5.0,4.5,5.0
137,2959,搏击俱乐部 Fight Club,attr_random,这是一部德国电影,2.0,2.0,3,3,2,1,2,1,2,4,3,2,2.0,2.5,2.5,1.5
138,2959,搏击俱乐部 Fight Club,pop,有569315用户看过这部电影(热门度前1%),5.0,5.0,4,5,4,5,3,5,4,5,2,2,4.0,5.0,2.5,3.5
139,318,肖申克的救赎 The Shawshank Redemption,attr_random,这部电影的导演是弗兰克·德拉邦特,3.0,3.0,3,3,4,5,5,4,3,4,4,3,3.5,4.5,4.5,3.5
140,318,肖申克的救赎 The Shawshank Redemption,item,喜欢《与神同行：罪与罚》的也喜欢,4.0,3.0,3,4,1,5,1,1,4,4,4,5,2.5,4.5,2.5,3.0
141,318,肖申克的救赎 The Shawshank Redemption,user,和你兴趣相似的用户中，看过这部电影的93.7%都喜欢,3.0,3.0,4,4,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0
142,318,肖申克的救赎 The Shawshank Redemption,peer,太强大的电影 经典而且无懈可击的剧情和表演,4.0,4.0,4,4,3,1,4,1,5,5,5,5,4.0,3.0,4.5,3.0
143,318,肖申克的救赎 The Shawshank Redemption,pop,有1677850用户看过这部电影(热门度前1%),4.0,4.0,4,4,4,5,2,2,4,5,2,2,4.0,5.0,2.0,2.0
144,318,肖申克的救赎 The Shawshank Redemption,attr_peer,这部电影的编剧是斯蒂芬·金,4.0,4.0,4,4,3,5,3,3,3,4,4,3,3.0,4.5,3.5,3.0
145,318,肖申克的救赎 The Shawshank Redemption,attr_personal,这是一部美国电影,4.0,3.0,3,3,1,5,1,1,2,4,3,2,1.5,4.5,2.0,1.5
146,318,肖申克的救赎 The Shawshank Redemption,attr_nonpersonal,这部电影的演员有鲍勃·冈顿,3.0,3.0,3,3,3,5,3,3,4,4,4,4,3.5,4.5,3.5,3.5
147,141668,战争房间 War Room,item,喜欢《鼠来宝》的也喜欢,3.0,1.0,1,1,5,5,5,5,4,4,4,5,4.5,4.5,4.5,5.0
148,141668,战争房间 War Room,attr_random,这部电影的演员有T·C·斯托林斯,2.0,1.0,1,2,3,5,3,3,4,4,4,4,3.5,4.5,3.5,3.5
149,141668,战争房间 War Room,peer,基督教的爱情故事 挺感人的,2.0,3.0,1,1,3,4,3,2,4,4,4,4,3.5,4.0,3.5,3.0
150,141668,战争房间 War Room,user,和你兴趣相似的用户中，看过这部电影的100.0%都喜欢,3.0,2.0,1,1,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0
151,141668,战争房间 War Room,attr_nonpersonal,这是一部剧情电影,2.0,3.0,4,1,3,5,3,3,2,4,3,2,2.5,4.5,3.0,2.5
152,141668,战争房间 War Room,attr_peer,这是一部剧情电影,2.0,3.0,4,1,3,5,3,3,2,4,3,2,2.5,4.5,3.0,2.5
153,141668,战争房间 War Room,attr_personal,这是一部美国电影,2.0,2.0,4,1,1,5,1,1,2,4,3,2,1.5,4.5,2.0,1.5
